NO.,UNICODE,UTF8
0305,0x252F,utf8:E2-94-AF:┯
0306,0x2530,utf8:E2-94-B0:┰
0307,0x2531,utf8:E2-94-B1:┱
0308,0x2532,utf8:E2-94-B2:┲
0309,0x2533,utf8:E2-94-B3:┳
0310,0x2534,utf8:E2-94-B4:┴
0311,0x2535,utf8:E2-94-B5:┵
0312,0x2536,utf8:E2-94-B6:┶
0313,0x2537,utf8:E2-94-B7:┷
0314,0x2538,utf8:E2-94-B8:┸
0315,0x2539,utf8:E2-94-B9:┹
0316,0x253A,utf8:E2-94-BA:┺
0317,0x253B,utf8:E2-94-BB:┻
0318,0x253C,utf8:E2-94-BC:┼
0319,0x253D,utf8:E2-94-BD:┽
0320,0x253E,utf8:E2-94-BE:┾
0321,0x253F,utf8:E2-94-BF:┿
0322,0x2540,utf8:E2-95-80:╀
0323,0x2541,utf8:E2-95-81:╁
0324,0x2542,utf8:E2-95-82:╂
0325,0x2543,utf8:E2-95-83:╃
0326,0x2544,utf8:E2-95-84:╄
0327,0x2545,utf8:E2-95-85:╅
0328,0x2546,utf8:E2-95-86:╆
0329,0x2547,utf8:E2-95-87:╇
0330,0x2548,utf8:E2-95-88:╈
0331,0x2549,utf8:E2-95-89:╉
0332,0x254A,utf8:E2-95-8A:╊
0333,0x254B,utf8:E2-95-8B:╋
0334,0x25A0,utf8:E2-96-A0:■
0335,0x25A1,utf8:E2-96-A1:□
0336,0x25B2,utf8:E2-96-B2:▲
0337,0x25B3,utf8:E2-96-B3:△
0338,0x25C6,utf8:E2-97-86:◆
0339,0x25C7,utf8:E2-97-87:◇
0340,0x25CB,utf8:E2-97-8B:○
0341,0x25CE,utf8:E2-97-8E:◎
0342,0x25CF,utf8:E2-97-8F:●
0343,0x2605,utf8:E2-98-85:★
0344,0x2606,utf8:E2-98-86:☆
0345,0x2640,utf8:E2-99-80:♀
0346,0x2642,utf8:E2-99-82:♂
0347,0x3000,utf8:E3-80-80:　
0348,0x3001,utf8:E3-80-81:、
0349,0x3002,utf8:E3-80-82:。
0350,0x3003,utf8:E3-80-83:〃
0351,0x3005,utf8:E3-80-85:々
0352,0x3008,utf8:E3-80-88:〈
0353,0x3009,utf8:E3-80-89:〉
0354,0x300A,utf8:E3-80-8A:《
0355,0x300B,utf8:E3-80-8B:》
0356,0x300C,utf8:E3-80-8C:「
0357,0x300D,utf8:E3-80-8D:」
0358,0x300E,utf8:E3-80-8E:『
0359,0x300F,utf8:E3-80-8F:』
0360,0x3010,utf8:E3-80-90:【
0361,0x3011,utf8:E3-80-91:】
0362,0x3013,utf8:E3-80-93:〓
0363,0x3014,utf8:E3-80-94:〔
0364,0x3015,utf8:E3-80-95:〕
0365,0x3016,utf8:E3-80-96:〖
0366,0x3017,utf8:E3-80-97:〗
0367,0x3041,utf8:E3-81-81:ぁ
0368,0x3042,utf8:E3-81-82:あ
0369,0x3043,utf8:E3-81-83:ぃ
0370,0x3044,utf8:E3-81-84:い
